date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:56:36	190/190	---M--	200	added ('OK')	text/plain	date:Thu,%2008%20Aug%202024%2013:17:10%20GMT	https://primepoultryexporters.com/robots.txt		(from )
02:57:10	228269/228269	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202024%2011:47:41%20GMT	https://primepoultryexporters.com/	C:/My%20Web%20Sites/chick/primepoultryexporters.com/index.html	(from )
02:57:16	48893/48893	---MCZ	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202024%2011:55:23%20GMT	https://primepoultryexporters.com/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=4.8.3	C:/My%20Web%20Sites/chick/primepoultryexporters.com/wp-content/themes/astra/assets/css/minified/frontend.min7bcd.css	(from https://primepoultryexporters.com/)
02:57:16	787/787	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d0ecda3c3b17ec447f89333db3f8b53c%22	https://primepoultryexporters.com/comments/feed/	C:/My%20Web%20Sites/chick/primepoultryexporters.com/comments/feed/index.html	(from https://primepoultryexporters.com/)
02:57:17	16148/16148	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d0ecda3c3b17ec447f89333db3f8b53c%22	https://primepoultryexporters.com/feed/	C:/My%20Web%20Sites/chick/primepoultryexporters.com/feed/index.html	(from https://primepoultryexporters.com/)
02:57:17	3304/3304	---M--	200	added ('OK')	font/woff	date:Fri,%2018%20Oct%202024%2011:55:23%20GMT	https://primepoultryexporters.com/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/chick/primepoultryexporters.com/wp-content/themes/astra/assets/fonts/astra.woff	(from https://primepoultryexporters.com/)
02:57:19	3501/3501	---MCZ	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202024%2011:55:23%20GMT	https://primepoultryexporters.com/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=4.8.3	C:/My%20Web%20Sites/chick/primepoultryexporters.com/wp-content/themes/astra/assets/css/minified/menu-animation.min7bcd.css	(from https://primepoultryexporters.com/)
02:57:20	75973/75973	---MCZ	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202024%2011:48:41%20GMT	https://primepoultryexporters.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.43	C:/My%20Web%20Sites/chick/primepoultryexporters.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend92a8.css	(from https://primepoultryexporters.com/)
02:57:22	18081/18081	---MCZ	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202024%2011:55:23%20GMT	https://primepoultryexporters.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.min.css?ver=4.8.3	C:/My%20Web%20Sites/chick/primepoultryexporters.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.min7bcd.css	(from https://primepoultryexporters.com/)
02:57:22	6262/6262	---MCZ	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202024%2011:55:23%20GMT	https://primepoultryexporters.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen.min.css?ver=4.8.3	C:/My%20Web%20Sites/chick/primepoultryexporters.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen.min7bcd.css	(from https://primepoultryexporters.com/)
